book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
1.0,2767052.0,2767052.0,2792775.0,272.0,439023483,9780000000000.0,Suzanne Collins,2008.0,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653.0,4942365.0,155254.0,66715.0,127936.0,560092.0,1481305.0,2706317.0,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg
2.0,3.0,3.0,4640799.0,491.0,439554934,9780000000000.0,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479.0,4800065.0,75867.0,75504.0,101676.0,455024.0,1156318.0,3011543.0,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg
3.0,41865.0,41865.0,3212258.0,226.0,316015849,9780000000000.0,Stephenie Meyer,2005.0,Twilight,"Twilight (Twilight, #1)",en-US,3.57,3866839.0,3916824.0,95009.0,456191.0,436802.0,793319.0,875073.0,1355439.0,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg
4.0,2657.0,2657.0,3275794.0,487.0,61120081,9780000000000.0,Harper Lee,1960.0,To Kill a Mockingbird,To Kill a Mockingbird,eng,4.25,3198671.0,3340896.0,72586.0,60427.0,117415.0,446835.0,1001952.0,1714267.0,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg
5.0,4671.0,4671.0,245494.0,1356.0,743273567,9780000000000.0,F. Scott Fitzgerald,1925.0,The Great Gatsby,The Great Gatsby,eng,3.89,2683664.0,2773745.0,51992.0,86236.0,197621.0,606158.0,936012.0,947718.0,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg
6.0,11870085.0,11870085.0,16827462.0,226.0,525478817,9780000000000.0,John Green,2012.0,The Fault in Our Stars,The Fault in Our Stars,eng,4.26,2346404.0,2478609.0,140739.0,47994.0,92723.0,327550.0,698471.0,1311871.0,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg
7.0,5907.0,5907.0,1540236.0,969.0,618260307,9780000000000.0,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,The Hobbit,en-US,4.25,2071616.0,2196809.0,37653.0,46023.0,76784.0,288649.0,665635.0,1119718.0,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg
8.0,5107.0,5107.0,3036731.0,360.0,316769177,9780000000000.0,J.D. Salinger,1951.0,The Catcher in the Rye,The Catcher in the Rye,eng,3.79,2044241.0,2120637.0,44920.0,109383.0,185520.0,455042.0,661516.0,709176.0,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg
9.0,960.0,960.0,3338963.0,311.0,1416524797,9780000000000.0,Dan Brown,2000.0,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311.0,2078754.0,25112.0,77841.0,145740.0,458429.0,716569.0,680175.0,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg
10.0,1885.0,1885.0,3060926.0,3455.0,679783261,9780000000000.0,Jane Austen,1813.0,Pride and Prejudice,Pride and Prejudice,eng,4.24,2035490.0,2191465.0,49152.0,54700.0,86485.0,284852.0,609755.0,1155673.0,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg
